# Eigenvalues  Shanon_Entropy    Inverse_Participation_Ratio   Structural_Entropy
-6.842787 2.885672 14.539929 0.208774
-3.695518 2.883981 16.688532 0.069260
-3.421863 2.314834 7.870884 0.251664
-3.277611 2.438394 7.946829 0.365621
-2.400208 2.707360 10.937652 0.315149
-1.937784 2.759574 10.921078 0.368879
-1.750637 2.439226 9.144198 0.226106
-1.530734 2.689772 11.187663 0.274961
-1.414214 1.732868 5.333333 0.058892
-1.107306 2.180853 7.135671 0.215746
-0.957872 2.262900 5.630841 0.534642
-0.000000 2.277876 7.885484 0.212853
-0.000000 2.383297 9.415905 0.140896
0.000000 1.004510 2.383074 0.136119
0.000000 1.364951 2.852918 0.316608
0.957872 2.262900 5.630841 0.534642
1.107306 2.180853 7.135671 0.215746
1.414214 1.732868 5.333333 0.058892
1.530734 2.689772 11.187663 0.274961
1.750637 2.439226 9.144198 0.226106
1.937784 2.759574 10.921078 0.368879
2.400208 2.707360 10.937652 0.315149
3.277611 2.438394 7.946829 0.365621
3.421863 2.314834 7.870884 0.251664
3.695518 2.883981 16.688532 0.069260
6.842787 2.885672 14.539929 0.208774
